,Model,precision_score,recall_score,f1_score,accuracy_score
0,ANN AutoEncoder,0.9360730593607306,0.9669811320754716,0.951276102088167,0.952054794520548
1,Stacked ANN AutoEncoder,0.954337899543379,0.9766355140186916,0.9653579676674365,0.9657534246575342
2,LSTM AutoEncoder,0.9817351598173516,0.9684684684684685,0.9750566893424036,0.9748858447488584
3,Stacked LSTM AutoEncoder,0.9817351598173516,0.9772727272727273,0.979498861047836,0.9794520547945206
4,CNN LSTM AutoEncoder,0.9817351598173516,0.9772727272727273,0.979498861047836,0.9794520547945206
5,Bidirectional LSTM AutoEncoder,0.9497716894977168,0.9674418604651163,0.9585253456221198,0.958904109589041
